anio,millones,porcentajePIB,vecesReservasInternac,vecesExportaciones,millonesPIB,millonesReservas,millonesExportaciones,anioGobierno
1970,7097.3,19.97,8.7,5.5,35541.68,820,1289.6,1970 GDO
1971,7627.5,19.46,7.5,5.6,39200,1020,1365.6,1971 LEA
1972,8351.5,18.49,6.5,5,45176,1284.7,1666.4,1972 LEA
1973,10667.1,19.30,7.6,5.1,55272,1406.9,2071.7,1973 LEA
1974,14080.5,19.56,9.8,4.9,71976,1443.9,2853.2,1974 LEA
1975,18381.4,20.89,11.4,6,88008,1608.9,3062.4,1975 LEA
1976,24139.1,35.21,17.1,6.6,68550,1411.3,3655.5,1976 LEA
1977,31382.4,38.59,15.9,6.7,81323.66,1967.8,4649.8,1977 JLP
1978,35905.3,34.89,15.6,5.9,102923.82,2303.2,6063.1,1978 JLP
1979,42974.5,31.90,13.9,4.9,134716.73,3087.6,8817.7,1979 JLP
1980,57574.4,30.51,14.4,3.8,188736.87,4003,15134,1980 JLP
1981,78412.6,34.01,15.6,4,230591.19,5035.1,19419.6,1981 JLP
1982,86274.7,134.19,47.1,3.6,64293.14,1832.3,24055.2,1982 JLP
1983,93108.3,85.88,18.9,3.6,108418.42,4933.1,25953.1,1983 MMH
1984,94966.5,69.58,11.7,3.3,136494.6,8134.1,29100.4,1984 MMH
1985,97063.2,94.55,17.3,3.6,102660.59,5598.3,26757.3,1985 MMH
1986,101083.1,121.14,15.3,4.6,83440.74,6588.6,21803.6,1986 MMH
1987,109652.6,131.49,8.4,4,83389.68,13039.8,27599.5,1987 MMH
1988,99399.5,60.19,15.6,3.2,165132.53,6379.4,30691.5,1988 MMH
1989,94016.2,50.44,14.2,2.7,186391.36,6620.4,35171,1989 CSG
1990,104604.5,45.79,10.2,2.6,228423.83,10273,40710.9,1990 CSG
1991,114219.8,40.62,6.5,2.7,281191.62,17546.6,42687.7,1991 CSG
1992,111919.2,33.93,6,2.4,329861.59,18554.2,46195.5,1992 CSG
1993,130124.3,25.77,5.3,2.5,504870.29,24538,51886,1993 CSG
1994,138135.5,41.29,22.5,2.3,334540.13,6148,60882,1994 CSG
1995,164954.7,57.10,10.5,2.1,288866.94,15741,79541.6,1995 EZP
1996,156339.6,40.69,8.9,1.6,384228.12,17509,95999.7,1996 EZP
1997,147773.8,31.30,5.3,1.3,472118.11,28003,110432,1997 EZP
1998,159250.4,34.51,5.3,1.4,461405,30235.5,117539,1998 EZP
1999,167187.7,28.73,5.4,1.2,581918.73,30689.2,136361,1999 EZP
2000,152260.4,22.54,4.3,0.9,675475.62,35585,166120,2000 EZP
2001,165913.9,22.47,3.7,1,738320.44,44814,158780,2001 VFQ
2002,161993.6,23.44,3.2,1,691167.82,50674,161046,2002 VFQ
2003,162204.4,23.61,2.7,1,687109.25,59028,164766,2003 VFQ
2004,166190.1,21.45,2.6,0.9,774798.57,64198,187999,2004 VFQ
2005,172691.4,19.59,2.5,0.8,881545.3,68669,214233,2005 VFQ
2006,172482.1,17.81,2.5,0.7,968576.7,67679.8,249925,2006 VFQ
2007,194221.8,18.57,2.5,0.7,1046170.94,77990.8,271875.3,2007 FCH
2008,200154.9,22.49,2.3,0.7,890113.54,85441,291342.6,2008 FCH
2009,189966.3,20.48,2.1,0.8,927445.55,90837,229783,2009 FCH
2010,244342,22.77,2.2,0.8,1072864.38,113596.5,298473.1,Â 2010 FCH
2011,281340.7,27.03,2,0.8,1040870.32,142475.5,349375,2011 FCH
2012,345671.5,28.73,2.1,0.9,1203057.16,163515.4,370769.9,2012 FCH
2013,396751.9,32.20,2.2,1,1232121.09,176521.7,380015.1,2013 EPN
2014,427257.5,36.49,2.2,1.1,1170807.31,193238.8,397128.7,2014 EPN
2015,417897.9,39.98,2.4,1.1,1045396.63,176735.4,380772,2015 EPN
2016,412033.6,43.60,2.3,1.1,944949,176541.5,373929.6,2016 EPN
